Date,Price
"Aug 25, 2017",47.65
"Aug 28, 2017",46.4
"Aug 29, 2017",46.46
"Aug 30, 2017",45.96
"Aug 31, 2017",47.26
"Sep 01, 2017",47.32
"Sep 05, 2017",48.63
"Sep 06, 2017",49.13
"Sep 07, 2017",49.1
"Sep 08, 2017",47.44
"Sep 11, 2017",48.06
"Sep 12, 2017",48.21
"Sep 13, 2017",49.3
"Sep 14, 2017",49.86
"Sep 15, 2017",49.9
"Sep 18, 2017",49.88
"Sep 19, 2017",49.54
"Sep 20, 2017",50.29
"Sep 21, 2017",50.58
"Sep 22, 2017",50.33
"Sep 25, 2017",51.85
"Sep 26, 2017",51.59
"Sep 27, 2017",52.14
"Sep 28, 2017",51.62
"Sep 29, 2017",51.67
"Oct 02, 2017",50.59
"Oct 03, 2017",50.44
"Oct 04, 2017",50
"Oct 05, 2017",50.79
"Oct 06, 2017",49.34
"Oct 09, 2017",49.58
"Oct 10, 2017",50.93
"Oct 11, 2017",51.3
"Oct 12, 2017",50.61
"Oct 13, 2017",51.43
"Oct 16, 2017",51.86
"Oct 17, 2017",51.87
"Oct 18, 2017",52.05
"Oct 19, 2017",51.29
"Oct 20, 2017",51.63
"Oct 23, 2017",51.91
"Oct 24, 2017",52.32
"Oct 25, 2017",51.97
"Oct 26, 2017",52.41
"Oct 27, 2017",53.92
"Oct 30, 2017",54.11
"Oct 31, 2017",54.36
"Nov 01, 2017",54.32
"Nov 02, 2017",54.55
"Nov 03, 2017",55.63
"Nov 06, 2017",57.34
"Nov 07, 2017",57.19
"Nov 08, 2017",56.82
"Nov 09, 2017",57.16
"Nov 10, 2017",56.75
"Nov 13, 2017",56.77
"Nov 14, 2017",55.67
"Nov 15, 2017",55.28
"Nov 16, 2017",55.14
"Nov 17, 2017",56.21
"Nov 20, 2017",56.21
"Nov 21, 2017",56.84
"Nov 22, 2017",57.88
"Nov 24, 2017",58.94
"Nov 27, 2017",58.1
"Nov 28, 2017",57.96
"Nov 29, 2017",57.25
"Nov 30, 2017",57.4
"Dec 01, 2017",58.35
"Dec 04, 2017",57.48
"Dec 05, 2017",57.66
"Dec 06, 2017",55.79
"Dec 07, 2017",56.5
"Dec 08, 2017",57.15
"Dec 11, 2017",57.84
"Dec 12, 2017",57.12
"Dec 13, 2017",56.59
"Dec 14, 2017",57
"Dec 15, 2017",57.29
"Dec 18, 2017",57.17
"Dec 19, 2017",57.49
"Dec 20, 2017",58.09
"Dec 21, 2017",58.34
"Dec 22, 2017",58.25
"Dec 26, 2017",59.55
"Dec 27, 2017",59.67
"Dec 28, 2017",59.84
"Dec 29, 2017",60.46
"Jan 02, 2018",60.37
"Jan 03, 2018",61.61
"Jan 04, 2018",61.98
"Jan 05, 2018",61.49
"Jan 08, 2018",61.73
"Jan 09, 2018",62.92
"Jan 10, 2018",63.6
"Jan 11, 2018",63.81
"Jan 12, 2018",64.22
"Jan 16, 2018",63.82
"Jan 17, 2018",63.92
"Jan 18, 2018",63.96
"Jan 19, 2018",63.38
"Jan 22, 2018",63.66
"Jan 23, 2018",64.45
"Jan 24, 2018",65.69
"Jan 25, 2018",65.62
"Jan 26, 2018",66.27
"Jan 29, 2018",65.71
"Jan 30, 2018",64.64
"Jan 31, 2018",64.82
"Feb 01, 2018",65.92
"Feb 02, 2018",65.5
"Feb 05, 2018",64.18
"Feb 06, 2018",63.48
"Feb 07, 2018",61.91
"Feb 08, 2018",61.3
"Feb 09, 2018",59.2
"Feb 12, 2018",59.41
"Feb 13, 2018",59.33
"Feb 14, 2018",60.7
"Feb 15, 2018",61.48
"Feb 16, 2018",61.89
"Feb 20, 2018",61.91
"Feb 21, 2018",61.73
"Feb 22, 2018",62.72
"Feb 23, 2018",63.52
"Feb 26, 2018",63.81
"Feb 27, 2018",62.94
"Feb 28, 2018",61.43
"Mar 01, 2018",60.98
"Mar 02, 2018",61.19
"Mar 05, 2018",62.49
"Mar 06, 2018",62.54
"Mar 07, 2018",61.09
"Mar 08, 2018",60.13
"Mar 09, 2018",62.02
"Mar 12, 2018",61.35
"Mar 13, 2018",60.69
"Mar 14, 2018",60.89
"Mar 15, 2018",61.16
"Mar 16, 2018",62.29
"Mar 19, 2018",62.01
"Mar 20, 2018",63.37
"Mar 21, 2018",65.1
"Mar 22, 2018",64.25
"Mar 23, 2018",65.8
"Mar 26, 2018",65.49
"Mar 27, 2018",65.21
"Mar 28, 2018",64.3
"Mar 29, 2018",64.87
"Apr 02, 2018",63.05
"Apr 03, 2018",63.41
"Apr 04, 2018",63.35
"Apr 05, 2018",63.53
"Apr 06, 2018",62.03
"Apr 09, 2018",63.4
"Apr 10, 2018",65.48
"Apr 11, 2018",66.81
"Apr 12, 2018",67.07
"Apr 13, 2018",67.35
"Apr 16, 2018",66.23
"Apr 17, 2018",66.5
"Apr 18, 2018",68.44
"Apr 19, 2018",68.3
"Apr 20, 2018",68.26
"Apr 23, 2018",67.61
"Apr 24, 2018",67.66
"Apr 25, 2018",68
"Apr 26, 2018",68.18
"Apr 27, 2018",68.11
"Apr 30, 2018",68.56
"May 01, 2018",67.28
"May 02, 2018",67.91
"May 03, 2018",68.45
"May 04, 2018",69.71
"May 07, 2018",70.74
"May 08, 2018",68.83
"May 09, 2018",71.16
"May 10, 2018",71.36
"May 11, 2018",70.69
"May 14, 2018",71.01
"May 15, 2018",71.34
"May 16, 2018",71.43
"May 17, 2018",71.47
"May 18, 2018",71.23
"May 21, 2018",72.26
"May 22, 2018",72.09
"May 23, 2018",71.85
"May 24, 2018",70.77
"May 25, 2018",67.92
"May 29, 2018",66.8
"May 30, 2018",68.24
"May 31, 2018",66.98
"Jun 01, 2018",65.81
"Jun 04, 2018",64.76
"Jun 05, 2018",65.51
"Jun 06, 2018",64.75
"Jun 07, 2018",65.96
"Jun 08, 2018",65.77
"Jun 11, 2018",66.1
"Jun 12, 2018",66.38
"Jun 13, 2018",66.63
"Jun 14, 2018",66.91
"Jun 15, 2018",65.01
"Jun 18, 2018",65.91
"Jun 19, 2018",65.09
"Jun 20, 2018",65.92
"Jun 21, 2018",65.68
"Jun 22, 2018",69.02
"Jun 25, 2018",69.91
"Jun 26, 2018",75.23
"Jun 27, 2018",77.41
"Jun 28, 2018",73.45
"Jun 29, 2018",74.13
"Jul 02, 2018",73.89
"Jul 03, 2018",74.19
"Jul 05, 2018",73.05
"Jul 06, 2018",73.78
"Jul 09, 2018",73.93
"Jul 10, 2018",74.11
"Jul 11, 2018",70.47
"Jul 12, 2018",70.28
"Jul 13, 2018",71.03
"Jul 16, 2018",68.22
"Jul 17, 2018",68.03
"Jul 18, 2018",68.78
"Jul 19, 2018",69.42
"Jul 20, 2018",70.31
"Jul 23, 2018",67.9
"Jul 24, 2018",70.77
"Jul 25, 2018",71.13
"Jul 26, 2018",71.59
"Jul 27, 2018",68.66
"Jul 30, 2018",71.19
"Jul 31, 2018",69.88
"Aug 01, 2018",68.8
"Aug 02, 2018",68.95
"Aug 03, 2018",68.49
"Aug 06, 2018",69.01
"Aug 07, 2018",69.17
"Aug 08, 2018",66.92
"Aug 09, 2018",66.81
"Aug 10, 2018",67.61
"Aug 13, 2018",67.25
"Aug 14, 2018",67.04
"Aug 15, 2018",65.07
"Aug 16, 2018",65.44
"Aug 17, 2018",65.93
"Aug 20, 2018",66.5
"Aug 21, 2018",67.32
"Aug 22, 2018",67.85
"Aug 23, 2018",69.13
"Aug 24, 2018",69.71
"Aug 27, 2018",69.97
"Aug 28, 2018",68.54
"Aug 29, 2018",69.68
"Aug 30, 2018",70.25
"Aug 31, 2018",69.84
"Sep 04, 2018",69.82
"Sep 05, 2018",68.69
"Sep 06, 2018",67.81
"Sep 07, 2018",67.73
"Sep 10, 2018",67.55
"Sep 11, 2018",69.29
"Sep 12, 2018",70.37
"Sep 13, 2018",68.6
"Sep 14, 2018",68.98
"Sep 17, 2018",68.86
"Sep 18, 2018",69.87
"Sep 19, 2018",71.08
"Sep 20, 2018",70.77
"Sep 21, 2018",70.8
"Sep 24, 2018",73.23
"Sep 25, 2018",73.4
"Sep 26, 2018",72.22
"Sep 27, 2018",72.18
"Sep 28, 2018",73.16
"Oct 01, 2018",75.37
"Oct 02, 2018",75.16
"Oct 03, 2018",76.4
"Oct 04, 2018",74.44
"Oct 05, 2018",74.26
"Oct 08, 2018",74.27
"Oct 09, 2018",74.95
"Oct 10, 2018",73.18
"Oct 11, 2018",70.97
"Oct 12, 2018",71.41
"Oct 15, 2018",71.84
"Oct 16, 2018",71.93
"Oct 17, 2018",69.63
"Oct 18, 2018",68.63
"Oct 19, 2018",69.16
"Oct 22, 2018",69.25
"Oct 23, 2018",66.49
"Oct 24, 2018",66.56
"Oct 25, 2018",67.25
